Date,Site,Section,Quadrat #,NS Transect (ft),WE,Species Richness,
5/18/2018,1,A,1,4,27,0,
5/18/2018,1,A,2,4,49,0,
5/19/2018,1,A,3,4,3,1,
5/19/2018,1,A,4,38,8,1,
5/19/2018,1,A,5,38,14,0,
5/19/2018,1,A,6,38,30,0,
5/19/2018,1,A,7,32,7,0,
5/19/2018,1,A,8,32,27,0,
5/19/2018,1,A,9,32,33,0,
6/8/2018,1,D,1,93,76,0,
6/8/2018,1,D,2,93,94,9,
6/8/2018,1,D,3,93,81,7,
6/29/2018,1,D,4,76,94,8,
6/30/2018,1,D,5,76,81,9,
6/30/2018,1,D,6,76,76,7,
6/29/2018,1,D,7,48,94,8,
6/30/2018,1,D,8,48,81,8,
6/30/2018,1,D,9,48,76,8,
5/18/2018,1,E,1,3,113,7,
5/18/2018,1,E,2,3,105,6,
5/18/2018,1,E,3,3,121,6,
6/29/2018,1,H,1,70,171,0,
6/29/2018,1,H,2,70,196,2,
6/29/2018,1,H,3,70,161,4,
6/29/2018,1,H,4,55,171,2,
6/29/2018,1,H,5,55,161,3,
6/29/2018,1,H,6,55,196,3,
6/29/2018,1,H,7,41,171,2,
6/29/2018,1,H,8,41,161,6,
6/29/2018,1,H,9,41,196,2,
